,idx,class,conversation,types
39,39,위협대화,"이번에 야구 올림픽에서 떨어지는 거 보고 속이 다 시원하더라.
그 지고 건방지게 인터뷰 한 선수는 훈련소 가서 조뺑이 치다가 부상당하길 바란다.
그 인간 말할 때 진짜 야구 방망이로 뒤통수 쎄게 날리고 싶더라.","IMMORAL_NONE
CENSURE
VIOLENCE
CRIME
CENSURE
VIOLENCE"
48,48,위협대화,"와 윗집에 개 키우는지 하루종일 짖어서 잠을 못잤네
층간소음 진짜 참기 힘든데
사람소린지 개소린지 모르겠는데 여튼 다 총쏴죽이고싶다","IMMORAL_NONE
IMMORAL_NONE
CENSURE
VIOLENCE"
53,53,위협대화,"초면에 시간내서 상담해줬더니 왜저러냐
자궁에 주먹 꽂아버리고 싶네","IMMORAL_NONE
VIOLENCE"
54,54,위협대화,"학교 끝나고 피씨방 가자
엄마 뒤진 티어랑은 같이 게임 안 한다
아비 없어서 가정교육 덜 받은 너랑은 나도 게임 안 해","IMMORAL_NONE
CENSURE
VIOLENCE
CENSURE
VIOLENCE"
56,56,위협대화,"나오늘 목욕탕 갔는데 큰 남자애들 진짜 많더라
좀 큰 애들은 여탕에 데리고 들어오면 안되는거 아님???ㅠ
여탕 들어오는 한남 유충들 샤워기호스로 물관장시키고 물바가지 똥꼬에 꼽고 개패서 다시는 여탕 못오게 만들어야함","IMMORAL_NONE
IMMORAL_NONE
CENSURE
HATE
VIOLENCE"
57,57,위협대화,"래퍼들 중에 #@인간및인간집단.인물.방송인.남성#마냥 이빨 뽑은 애가 한두 명이 아니더라
이빨 없는 채로 갈아서 짬 타이거 밥으로 주고 싶다
인생이 비겁한 애들은 언젠가 박살 나는 순간이 온다.","CENSURE
HATE
VIOLENCE
HATE
CENSURE"
58,58,위협대화,"나 이거 하나만 사주세염
윽 기관총가지고 쏴버리고싶음
와... 말넘심 난 너 토막살인감","IMMORAL_NONE
VIOLENCE
CRIME
CRIME
VIOLENCE"
68,68,위협대화,"호주에서 폭동이 일어났데. 장기간 봉쇄 못견디겠다고 하더라
한국놈들은 걍 개라서 마스크 잘 쓰고 댕기는거 고냥 뿌듯해 하는게 다임.
국민자체가 노예근성이 오짐. 개쫄보들임.","IMMORAL_NONE
CENSURE
VIOLENCE
HATE"
74,74,위협대화,"야 여자애들 집안일 할때 먹어봄? 특히 행주질 할때 바지 벗기면 끝임
ㅋㅋ 행주질 할 때 하다가 자기가 행주에서 행주되겠노
나는 특히 가만히 있는 것 보다 좀 반항 하는 맛이 있는게 좋더라","CENSURE
VIOLENCE
CRIME
SEXUAL
VIOLENCE
CRIME
SEXUAL
CENSURE
CENSURE
VIOLENCE
CRIME
SEXUAL"
76,76,위협대화,"나였으면 캣맘 나타나는 순간 오함마로 머리 찍어 죽인다 ㅋㅋ
한남충 허세 진짜 우주 최강이다..ㅋㅋ
피싸개 어서 오고~","CRIME
HATE
VIOLENCE
HATE
CENSURE
HATE
CENSURE"
78,78,위협대화,"우리 아파트에는 왜 이렇게 고양이가 많은거야?
우리 아랫집에 캣맘 살잖아
고양이랑 캣맘이랑 다 화형시키고 싶네
야 그건 너무 잔인하다ㅋㅋ","IMMORAL_NONE
IMMORAL_NONE
CRIME
VIOLENCE
IMMORAL_NONE"
81,81,위협대화,"애 낳았을 때 이미 서른 가까이 됐겠구만 피임할 줄 모르니?
풍선 쓰면 리얼하지 않아서 흥분이 안되냐?
형량과 상관없이 일단 자궁은 적출해버려라","CENSURE
CENSURE
SEXUAL
CENSURE
VIOLENCE"
83,83,위협대화,"우리나라도 이제 계급사회나 마찬가지야.
우리 같은 하층민이 인간답게 살려면 공무원 시험 밖에 답이 없어.
머가리까지 나쁜 여자들은 첩으로, 남자들은 군대로 가야 먹고나 살겠지.
쥰내 암울하네. 한번 확 갈아 엎어야 하는데.
요즘 애들은 전투력까지 없어. 그냥 이렇게 겨우 살아가다 고독사 할 듯.","IMMORAL_NONE
CENSURE
CENSURE
CENSURE
VIOLENCE
ABUSE
CENSURE"
93,93,위협대화,"사람쳐서죽였어도 풀려났겠지
진짜 애샛기들은 법무서운줄 모르고 나대는데 묶어놓고 개패듯이패면 괜찮아질걸
뭐한거냐 고작 8살인데 지금 바로잡지 않으면 큰일 낼 애네","IMMORAL_NONE
CENSURE
VIOLENCE
ABUSE
IMMORAL_NONE"
94,94,위협대화,"#@인간및인간집단.인물.인물_무정보.남성# 한 번은 그렇다 하지만 또 1,500만 원 받았다고?
살짝 주는 것도 아니고 대놓고 도둑질하는 거에 더 돌아버리겠다.
#@인간및인간집단.인물.정치인.남성#한테 국민은 지렁이만도 못해.
닭 끌어 내린 자리에 도둑놈을 앉히다니.
촛불을 모아서 청와대 불 싸지르고 싶다.","IMMORAL_NONE
CENSURE
IMMORAL_NONE
CENSURE
VIOLENCE"
95,95,위협대화,"분노장애 아들 보니까 그아들의 그 가족 인듯 ㅋㅋ 역시 거울이야 어쩜 저렇게 낳았을까 안타깝다
분조장샛기들 칼로 몇 번 후비면 싹 고쳐질텐데, 사시미 함 가지고 나갈까?
암만 그래도 바로 실행으로 옮기려고 하냐 무섭다 너 진짜","IMMORAL_NONE
CRIME
CENSURE
ABUSE
VIOLENCE
IMMORAL_NONE"
96,96,위협대화,"우리 반 남자애들이 너무 말을 안 들어.
남자애들은 맞으면서 커야 정신을 차리지.
남자는 동물이라서 골프채로 처맞아야 교육이 된다고.","IMMORAL_NONE
DISCRIMINATION
VIOLENCE
DISCRIMINATION
VIOLENCE"
98,98,위협대화,"#@#인들은 바퀴벌레랑 유전자가 똑같을 거야
코로나가 거기서 퍼진 것도 걔네가 벌레라서 그런 거일 듯
#@#이 나서서 거기 전체에 살충제를 뿌렸어야 해","CENSURE
DISCRIMINATION
HATE
DISCRIMINATION
HATE
CENSURE
DISCRIMINATION
HATE
CENSURE
VIOLENCE"
99,99,위협대화,"성매매는 판 사람은 지원금 주고 산 사람은 처벌하는 게 말이 되냐?
페미들 말로는 성매매 종사자는 억지로 한 거라잖아
진짜 억지로 따먹어 버리고 싶은 말만 하네","IMMORAL_NONE
IMMORAL_NONE
VIOLENCE
SEXUAL"
101,101,위협대화,"고딩들이 노인한테 담배 심부름에 폭행까지 세상이 어찌 돼 가는지 원.
외모만 사람이고 짐승 자식들이야.
저런 것들이 커서 사람 죽이는 살인마들이 되는 거지.","VIOLENCE
CENSURE
CENSURE
HATE
CENSURE"
103,103,위협대화,"어떻게 이걸 질 수가 있냐?
센징들은 찢어 죽여야 제맛이지 ㅋㅋㅋ","IMMORAL_NONE
DISCRIMINATION
VIOLENCE"
106,106,위협대화,"한번만 더 몸에 손대면 머리통을 박살내 버릴꺼야
다시 이런일 없을 거야. 제발 용서해주라.
꼴도 보기 싫으니까 한강물에 빠져 뒤져 그냥.","VIOLENCE
IMMORAL_NONE
CENSURE"
108,108,위협대화,"요즘 진짜 뉴스 악플 많은듯
다들 사는게 힘든가 왜그러지
손가락을 분질러 놔야 됨 현실에선 찐따일듯","IMMORAL_NONE
IMMORAL_NONE
VIOLENCE
CENSURE"
110,110,위협대화,"이런 댓글 달면 창피하지 않냐?
느금마는 너 낳고 창피해 하지 않으시든?
고소 당하고 쪽팔리게 앙망문 올리지 말고 그만해라
너야말로 찾아가서 쥐도 새도 모르게 죽여버리기 전에 입 닫아","IMMORAL_NONE
IMMORAL_NONE
CENSURE
VIOLENCE
CRIME
ABUSE"
122,122,위협대화,"저 뺑소니범 꼭 잡아서 내 손으로 지옥보낸다
밤길 조심해라 뒤통수를 도끼로 찍어줄테니
아무리 화가나도 그 말은 도가 넘었어","VIOLENCE
VIOLENCE
IMMORAL_NONE"
124,124,위협대화,"폭주족들은 다 목 꺾여서 정신차려봐야함
맞음 그리고 목은 혼자 넘어져서 꺾여야할듯.
차 운전자들한테 피해 끼치면 안되잖아.","VIOLENCE
VIOLENCE
IMMORAL_NONE"
126,126,위협대화,"쟤 저러다가 또 좀 잠잠해지면 나와서 까불라고 저렇게 불쌍한척하는거임
인생 저렇게 살면 쪽팔리지도 않나봐 나였으면 진짜 자살각이야
쟤네는 그런 면목도 없는 애들이라서 저러고 사는거야","CENSURE
CENSURE
VIOLENCE
CENSURE"
127,127,위협대화,"아 진짜 월요일 너무 싫다
내말이... 그냥 회사고 학교고 다 불지르고 나도 죽어야지
하... 한강 물 따뜻하던데 고대로 자살 가보자고","IMMORAL_NONE
CRIME
VIOLENCE
VIOLENCE"
137,137,위협대화,"뭐만 하면 공황장애 지겹다 지겨워
공황장애면서 놀러 공항은 잘가더라ㅋㅋ 거기선 안 무섭니?
그냥 나 정신력 약해요 ㅜ 멘탈 약해요 밖에 더 되냐? 볎신들
이래서 쟤가 삼류로 남는거야ㅋㅋ 열심히 할 생각을 안 해요 장애면 그냥 죽어라","CENSURE
CENSURE
CENSURE
ABUSE
CENSURE
VIOLENCE"
140,140,위협대화,"친구 엄마에게 이런 말하기는 미안한데, #@# 엄마 엄청 이쁘시더라
나도 저번에 놀러갔다가 감짝 놀랐다
#@인간및인간집단.인물.인물_무정보.남성#이네 아버지가 능력자인거지
저번에 보고 진짜 개꼴려서, 야동 같이 그대로 덮치고 싶더라","IMMORAL_NONE
IMMORAL_NONE
IMMORAL_NONE
VIOLENCE
CRIME
SEXUAL"
144,144,위협대화,"#@인간및인간집단.인물.방송인.여성# 오빠는 투병하고 얼마 못 버텼는데 #@인간및인간집단.인물.방송인.남성# 징하게 버티네?
갈 때 다 된 것처럼 기사 났던데 아직도 안 죽음?
치료는 안됐지만 개 구충제 먹은 것 때문에 못 죽고 있는거 아닌지 몰라.
어차피 못 살아날거 빨리 죽어야지, 가족들만 빚더미에 앉겠네.","HATE
CENSURE
CENSURE
VIOLENCE
IMMORAL_NONE
CENSURE
VIOLENCE"
146,146,위협대화,"축하드려요 아들입니다
신이시여 감사합니다.
아이와 산모는 건강한가요?
산모가 위태롭습니다.
악마의 저주를 안고 태어난게 분명하니 죽여라
오늘 산모상태를 보고 결정하시죠","IMMORAL_NONE
IMMORAL_NONE
IMMORAL_NONE
IMMORAL_NONE
VIOLENCE
CRIME
IMMORAL_NONE"
147,147,위협대화,"너보다 빨갱이가 낫다 불쌍하다 불쌍해
그냥 엄마는 김치고 아빠는 그냥 노동자
꼭 가정교육 못 받은 티를 내요
친일 왜구 같은 놈 일본으로 귀화해라
저런 애들은 참교육시켜서 짓밟아 놔야 안 꿈틀거리지","HATE
CENSURE
HATE
CENSURE
CENSURE
HATE
CENSURE
HATE
CENSURE
VIOLENCE"
153,153,위협대화,"한국 코미디 개노잼
근데 진짜 불편하기만 하고 재미없어
응 다음 불편충
불편충, 프로불편러 소리하는 너같은 것들 다 쏴죽이고 싶다
매번 제대로 모르면서 욕만 할 줄 알지 ㅉㅉ
한국 코미디언들 약자 조롱 없는 개그는 못하는 거 사실이잖아?","DISCRIMINATION
CENSURE
ABUSE
IMMORAL_NONE
HATE
CENSURE
ABUSE
HATE
CENSURE
VIOLENCE
CENSURE
CENSURE"
155,155,위협대화,"뭐야 아직도 꿈틀거릴 힘이 있어?
아직 덜 맞았나 보네
에이, 목숨은 붙여 둬야지","IMMORAL_NONE
CENSURE
VIOLENCE
CENSURE
VIOLENCE"
165,165,위협대화,"저기요 님이 맘에들어서 그러는데요 번호 좀 주세요
저 남자친구 있어요
아 줫나 튕기네 그냥 좀 달라고 숨지기 싫으면","IMMORAL_NONE
IMMORAL_NONE
CENSURE
VIOLENCE
ABUSE"
173,173,위협대화,"와 who에서 바이러스 퇴치하면서 원주민 성추행했대
여윽시 백남들
백 한남은 다 죽여야지","IMMORAL_NONE
CENSURE
CENSURE
VIOLENCE"
179,179,위협대화,"아 또 죽었네 커버좀 와 주지
너 자꾸 겜 이따구로 할래?
하는거 보면 손톱 뽑아버리고 싶네 진짜","IMMORAL_NONE
CENSURE
VIOLENCE
CRIME"
180,180,위협대화,"야 이거 정리 좀 해
말놓지말라고요 자G를 뽑아벌라
나보다 나이도 한참어린데 말 좀 놓읍시다","IMMORAL_NONE
HATE
VIOLENCE
SEXUAL
IMMORAL_NONE"
198,198,위협대화,"와 저게 할 말이냐?
빨갱이 꼴페미 놈들에게 뭘 기대하냐?
아 #@인간및인간집단.인물.정치인.남성#형 와서 싹다 잡아가서 총살시켜야 함.","IMMORAL_NONE
HATE
CENSURE
HATE
CENSURE
VIOLENCE
CRIME"
202,202,위협대화,"저 사람 낯짝이 아주 철판이네.
그러게 죄의식을 못느끼나봐.
저런 놈들은 사지를 찢어죽여야해.","CENSURE
IMMORAL_NONE
CENSURE
VIOLENCE"
204,204,위협대화,"오늘 지하철 자리 없어서 서서 왔어
사람 많았나 보네
오늘 다리아파서 자리 앉은놈들 다 죽이고 싶었음","IMMORAL_NONE
IMMORAL_NONE
VIOLENCE"
205,205,위협대화,"아니 저기서 골을 못넣는 공격수가 진짜 축구선수 맞냐?그냥 나가 죽으라고해.
그러게 말이다...저게 공격수라고 할 수 있냐?
자살했으면 좋겠다.","DISCRIMINATION
HATE
CENSURE
CENSURE
DISCRIMINATION
HATE
CENSURE
VIOLENCE"
209,209,위협대화,"마스크만 봐도 짱깨놈들 지구상에서 박멸하고 싶다는 생각밖엔 안든다.
박쥐들 먹는 짱깨들 때문에 전세계가 이 난리다..
그니까 말이야..","HATE
CENSURE
VIOLENCE
HATE
CENSURE
IMMORAL_NONE"
212,212,위협대화,"여군 진심 어디다 써먹냐
전쟁나면 쓸모 있음
맞지 맞지 받이로 쓰면되지 총알받이든 다른거든","IMMORAL_NONE
DISCRIMINATION
HATE
CENSURE
VIOLENCE
CRIME
SEXUAL
HATE
CENSURE
VIOLENCE
CRIME
SEXUAL
DISCRIMINATION"
213,213,위협대화,"와 사람 성씨가 어떻게 위씨냐?
ㅋㅋㅋ 무슨 짱개들 성씨 같네
조상이 중국에서 넘어온 오랑캐들인가봐 ㅋㅋ
그럼 중국인들 핏줄인 거 아니야 극혐이네
와 난 진짜 내 성씨가 위씨였음 진작 자살했어","IMMORAL_NONE
DISCRIMINATION
CENSURE
CENSURE
DISCRIMINATION
HATE
CENSURE
DISCRIMINATION
VIOLENCE
HATE
CENSURE
DISCRIMINATION"
220,220,위협대화,"저 연예인, 미국의 국민 여동생 배우로 유명했던 사람 아니야?
맞아, 근데 저 여배우가 성전환수술을 했대.
성전환수술을 해서 남자가 되었다니 정말 신기하다.
저런 정신병 환자들은 제발 단체로 옥상 건물에서 뛰어내렸으면 좋겠음.
넌 어떻게 그런 말을 할 수 있니?","IMMORAL_NONE
IMMORAL_NONE
IMMORAL_NONE
HATE
CENSURE
VIOLENCE
IMMORAL_NONE"
224,224,위협대화,"합리화 대박이네 그 정도면 정신병인듯
어떤 말을 해도 예전에 잘 지낼때로 상황을 돌리고 싶어
시건방 떨지마라 뼈만 골라내버릴까보다","CENSURE
HATE
IMMORAL_NONE
VIOLENCE
HATE
CENSURE"
225,225,위협대화,"내가 오늘 #@인간및인간집단.인물.인물_무정보.남성# 시체로 만들고 온다.
왜? #@인간및인간집단.인물.인물_무정보.남성#가 뭐 잘못했어?
#@인간및인간집단.인물.인물_무정보.남성# 금마가 어제 내 차 긁고 튀었다!","VIOLENCE
IMMORAL_NONE
CENSURE"
226,226,위협대화,"공동 생활이면 서로 조금씩 양보하고 맞추는 게 맞지
룸메가 이기적이라 공동생활할 사람이 아닌 듯
하긴 본인 코골이에 수면 유도제까지 처방받은 거 보면 나같음 미안해서라도 나가겠다
남 코골이는 듣기싫으면서 남 피해주는건 괜찮은 이기적인놈인데 정신병엔 폭력이 답이다","IMMORAL_NONE
IMMORAL_NONE
IMMORAL_NONE
VIOLENCE
CENSURE"
227,227,위협대화,"30대 한남들아 니네 어린 여자 그만 좀 찾아
잘생겨야 20대녀 만나는 거야
꼭 젊은 애들만 찾는 오크 같은 30대남들 있더라
그런 쓰레기들 다 돈 쓰면서 유흥만 다니니까
젊은 애들이 오빠 멋있어요 하니까 그게 진짜인 줄 알아 ㅋㅋ
아 역겨워 진심으로
그런 애들이 다 늙어서 동남아나 이런 데서 여자 찾잖아
그런 도태된 애들은 그냥 좀 혼자 살다 뒤지는 법 만들면 안 되나?","CENSURE
HATE
CENSURE
HATE
CENSURE
HATE
CENSURE
HATE
SEXUAL
CENSURE
HATE
CENSURE
HATE
HATE
CENSURE
HATE
VIOLENCE"
231,231,위협대화,"우리집앞 식당인데 이거 8천원이면 어때?
얼마나 많이 남겨먹으면 토핑을 저거밖에 안줘 ㅋㅋ
다 먹고 남은 거 찍은 사진이지? 저러고 자영업자 힘들다고 징징대는 애들은 묶어놓고 패야됨","IMMORAL_NONE
IMMORAL_NONE
CENSURE
VIOLENCE"
232,232,위협대화,"나는 돈에 환장했으니 사람 죽이라면 죽여
뭐라는거야 진짜
제발 정신 좀 차리고 살아라.","VIOLENCE
IMMORAL_NONE
IMMORAL_NONE"
235,235,위협대화,"야 나 오늘 꾸미고 왔는데 어때?
나정도면 좀 잘생겼지 않아?
어디가서 칼침 맞을 소리 그만해","IMMORAL_NONE
IMMORAL_NONE
CENSURE
VIOLENCE
CRIME"
237,237,위협대화,"얼마 전에 운전하는데 젊은 학생이 갑자기 튀어나오더라
그런데 골빈 아색히들은 조패야 정신차리는데
개념들을 아주 밥말아 드셨지","IMMORAL_NONE
CENSURE
VIOLENCE
CRIME
HATE
CENSURE"
240,240,위협대화,"내 동생이 중학생이 됐어
학교에는 잘 적응하고 있어?
양아치가 돼서 애들 돈이나 빼앗고 다닌대
내 동생이였으면 오늘 피범벅 될때까지 쳐맞은다음 속옷차림으로 묶어서 분리수거장에 버렸어","IMMORAL_NONE
IMMORAL_NONE
IMMORAL_NONE
VIOLENCE"
242,242,위협대화,"쟤는 머리에 든 것도 없으면서 왜 저렇게 나대?
머리가 너무 비어서 주먹 한 방이면 두쪽으로 박살날 듯ㅋㅋㅋ
우리가 가서 망치로 머리 박살내주자","CENSURE
CENSURE
VIOLENCE
VIOLENCE"
247,247,위협대화,"그냥 가출한 련들 여러명 꼬셔서 공용 변기 만들어 버릴까 공떡 개이득인데
그 련들 조금만 돈 쥐어주면 좋다고 바로 벌려준다 10만으로도 쌉가능
다대 떡으로 공용변기 만든 다음에 안싸 까지 퍼펙트 임신하면 밟아서 낙태 고고","VIOLENCE
SEXUAL
SEXUAL
VIOLENCE
SEXUAL"
252,252,위협대화,"네 남자친구 아직도 부모님이랑 산다며.
응, 그래서 결혼하고서도 시부모님이랑 같이 살 것 같아.
시부모님이랑 같이 산다는 말은 혹시 결혼하고 죽는 게 꿈이란 말이랑 같은 말 아니니?
그 정도는 아니야.
그냥 시부모님이 #@# 부부가 죽기 전에 유전자를 복제한 수준일 뿐이야.
내가 사는 집이 #@#로 불릴 될 뿐이고.","IMMORAL_NONE
IMMORAL_NONE
CENSURE
VIOLENCE
IMMORAL_NONE
CENSURE
CENSURE"
254,254,위협대화,"앞에 외제차가 1차선 도로에서 비상깜빡이 켜며 정지를 하네
그런데 계속 안가고 밖으로 나와 담배를 펴며 우리를 계속 쳐다봐
그때 난 그 녀석을 죽여야겠다고 생각해서 칼을 들었어","IMMORAL_NONE
IMMORAL_NONE
CRIME
VIOLENCE"
259,259,위협대화,"아 밤마다 오토바이 소리 때문에 잠을 못자겠네
저 폭주족 샛기들 오토바이 타이어에 펑크 ㅈㄴ내서  죽어버리게 만들고싶음
오토바이 소리 시끄럽다고 사람이 죽었으면 좋겠다고 말하는 건 좀 아니지 않냐?
오토바이 소리 때문에 스트레스 받아서 내가 죽을 수도 있어
그리고 참는 것도 하루 이틀이지, 언제까지 저 시끄러운 소리를 들으면서 살아야돼","IMMORAL_NONE
ABUSE
CRIME
VIOLENCE
CENSURE
HATE
IMMORAL_NONE
IMMORAL_NONE
IMMORAL_NONE"
263,263,위협대화,"배달시켰는데 2시간째 안온다
ㅋㅋㅋ 진짜? 뭐시켰냐?
치킨. 도착하면 배달하는놈 치킨집 다 죽여버릴거야","IMMORAL_NONE
IMMORAL_NONE
VIOLENCE"
267,267,위협대화,"도로에 오토바이들 너무 무법자야
폭주족? 걔넨 그냥 곧 뒤질 애들임
머리 도로에 세게 박고 죽을 애들이니 니가 좀만 참아라","IMMORAL_NONE
CENSURE
HATE
VIOLENCE
CENSURE"
268,268,위협대화,"돈도 못 벌어오는 게 무슨 부모야
싸질러 놓기만 하면 다냐
내가 부모였음 넌 진즉에 고아원행이야","DISCRIMINATION
HATE
CENSURE
CENSURE
HATE
HATE
VIOLENCE"
272,272,위협대화,"아 ^^ㅣ발 이래라 저래라 말 준내 많네 Aㅏ갈이 개 쳐 때려 뿔라
뭐? 너 지금 선생님한테 무슨 말 버릇이야?
선생이면 선생답게 그냥 aㅏ갈이 싸물고 계세요","VIOLENCE
IMMORAL_NONE
ABUSE"
274,274,위협대화,"한국여자들 특 징징대기
이딴 말 할거면 왜 사냐
살 가치도 없는데 한강이나 가지 그래?","HATE
IMMORAL_NONE
CENSURE
VIOLENCE"
276,276,위협대화,"요즘 계속 보이스피싱 문자 오네
야 나도 요즘 유난히 자주 와
하 보이스피싱하는 조선족들 다 죽이고 싶어","IMMORAL_NONE
IMMORAL_NONE
DISCRIMINATION
VIOLENCE"
278,278,위협대화,"오늘도 일본도로 아내 죽인 남자 봤나?
응 진짜 쓰레기던데 그런 애들은 손가락 하루에 한 마디씩 자르며 고문해야해
진짜 입 1cm씩 찢고 봉합해주고 그렇게 천 번 해야함","IMMORAL_NONE
HATE
VIOLENCE
VIOLENCE"
279,279,위협대화,"저 사회자 무례하네
저러고 잘한 줄 알겠지
머리통에 헤드샷 날려버리고 싶다","IMMORAL_NONE
IMMORAL_NONE
VIOLENCE
CRIME"
284,284,위협대화,"내 여친 김치 같음
기념일도 아닌 날에 선물 사달라고 하더라
배빵 3대면 그딴 말 안 할 거야","HATE
CENSURE
IMMORAL_NONE
VIOLENCE
CRIME"
288,288,위협대화,"말 너무 많이 하는 거 비호감이야
너도 비호감이야
너 같은 애들 입을 찢어놔야 하는데","IMMORAL_NONE
IMMORAL_NONE
HATE
VIOLENCE
DISCRIMINATION"
291,291,위협대화,"음식 전공하는 여자들 왜이리 꼴리지?
먼가 박살내고 싶은 그런느낌?
놀러 가볼까?","SEXUAL
CRIME
VIOLENCE
CRIME
IMMORAL_NONE"
292,292,위협대화,"화학적 거세고 뭐고 미성년자 건드리는 건 짜르라고.
판새들부터 잘라야겠다.
아동성애는 정상성욕이지만 여자들의 질투로 불법화 당한 것 뿐이다.
이런 것들 때문에 한남이 다 욕을 듣지.","CENSURE
VIOLENCE
IMMORAL_NONE
VIOLENCE
CRIME
SEXUAL
HATE
CENSURE
IMMORAL_NONE"
295,295,위협대화,"약속을 밥 먹듯이 어기는 애들을 어떻게 하면 좋지
매가 약이라고 그냥 개 패면 돼
그거 좋은 생각이다 그냥 오늘 가서 개 패야 겠다","IMMORAL_NONE
VIOLENCE
VIOLENCE"
297,297,위협대화,"전자발찌 찬 사람 주변에 있는지 어찌 확인함?
너 얼굴만 보면 전자발찌 양발 모두 찬 놈 같음
오늘 강냉이 한번 털려볼래?","IMMORAL_NONE
CENSURE
VIOLENCE"
301,301,위협대화,"국민을 개돼지에 비유하는 건 옛말인 듯
그냥 쇠파이프로 복날 개패듯이 패야 정신차릴 것들임
그럼 너부터 맞고 와 봐","IMMORAL_NONE
CENSURE
VIOLENCE
IMMORAL_NONE"
302,302,위협대화,"너같이 한심하게 구는 애들 보면 진짜 이 나라의 미래가 걱정된다
너네 엄마 개패서 유산시켰어야되는데 개후회됨
너 장기매매단에 팔았어야되는데 후회된다","IMMORAL_NONE
VIOLENCE
CRIME
VIOLENCE
CRIME"
303,303,위협대화,"하여튼 폭주하는 딸배들은 목이 꺾여봐야지
시끄럽고 더러운 놈들만 저런 일을 한다니까
밤에 폭주족 소리 시끄럽긴 하더라 나도","VIOLENCE
DISCRIMINATION
IMMORAL_NONE"
